Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDB53,2368.481542725588,OUT046
DRP47,2065.8648668629917,OUT019
FDA14,2344.7905477904574,OUT013
DRC24,2557.580665730623,OUT035
FDW21,1387.319987359364,OUT018
NCH29,1546.5820505691763,OUT046
FDU58,3065.4524485800475,OUT013
FDY27,2925.0390617692615,OUT017
FDV56,1935.3932288033661,OUT035
FDT59,3642.501550999693,OUT046
FDB23,3602.9057458022126,OUT046
FDR49,709.0072817624291,OUT045
FDB03,1947.7266512710476,OUT010
FDN39,2668.2766071769015,OUT045
FDX02,4978.433140270303,OUT027
FDQ16,3183.840532604945,OUT027
FDU35,1328.3082138457216,OUT018
NCT29,1961.3303085442753,OUT013
FDZ27,805.7958095780155,OUT046
FDN57,2342.4163282248687,OUT017
FDA03,2083.2363769572853,OUT018
FDZ36,2920.6382493349997,OUT045
NCU05,1323.9460129252568,OUT013
FDT39,2172.801176614959,OUT018
FDK60,1711.7578539734927,OUT017
FDZ25,2833.0525026310784,OUT017
FDG12,1998.0136152855084,OUT046
DRB01,1117.985332127937,OUT019
NCC43,5379.791957558257,OUT027
FDX13,2022.2529322986475,OUT019
FDM22,1019.6274797029794,OUT049
FDJ03,2307.909060237239,OUT027
FDU14,3727.6875581109352,OUT018
FDB33,610.7274449502468,OUT010
FDP27,3023.6716906431316,OUT046
FDO38,-669.5819198061458,OUT010
FDE28,5158.786127978595,OUT027
FDO27,1727.884551932761,OUT035
DRL23,3156.174188483483,OUT027
FDS28,968.6648581997395,OUT046
FDX24,1528.0463678332112,OUT013
FDZ02,1742.4913275645076,OUT035
FDL46,1805.1853016368364,OUT045
FDS60,4288.185672685747,OUT027
NCO06,645.8289516026393,OUT017
FDO16,1519.1396706627525,OUT035
FDC60,1556.0910588268625,OUT049
FDA48,3205.3680232167567,OUT018
FDZ36,4508.005617630745,OUT027
FDK27,1865.8517701689393,OUT045
FDW23,384.8168690949509,OUT018
FDM14,1491.515565653501,OUT018
FDM14,1770.3266087077723,OUT013
FDW60,2588.520637078445,OUT018
FDE21,1898.6349872694354,OUT013
NCM42,1878.2112086814136,OUT035
FDY59,-398.7873446955826,OUT010
DRI49,1402.1418690115377,OUT049
FDT28,507.82527198295224,OUT019
FDQ22,393.1068256211364,OUT018
FDR60,1344.2253466343645,OUT049
FDC50,-371.5225525114167,OUT019
FDV24,2451.3266961424856,OUT013
DRF48,1111.7274984313963,OUT010
FDQ47,667.997561336437,OUT046
DRN36,1650.853205495885,OUT049
NCY06,2174.3954697638724,OUT035
FDE52,1635.2493270434597,OUT035
NCB54,1937.9763132696312,OUT045
NCF31,2549.730988083416,OUT035
FDJ08,4459.722724334228,OUT027
NCC07,1781.7507396504525,OUT017
NCD19,2316.681945790924,OUT027
FDL46,2064.465176918483,OUT049
FDM20,3819.567730459172,OUT045
NCI06,920.4271242310556,OUT010
DRM11,4220.271200677653,OUT035
NCH07,2218.0185528140987,OUT018
FDS23,2104.763058549465,OUT013
FDO49,584.0042672357838,OUT018
FDS35,1170.6225359030811,OUT049
DRK39,1256.6940613920349,OUT045
DRI39,1043.4301291567106,OUT049
FDV04,2661.0262331053505,OUT017
NCN14,3012.9930441648225,OUT035
FDH08,3684.10289925313,OUT013
FDS20,2904.5193006409763,OUT046
FDV40,1325.1579253624213,OUT049
FDZ48,-142.9458580586632,OUT010
FDS24,2910.013100084405,OUT027
FDK44,2865.7924210773126,OUT049
FDS48,2388.051769588956,OUT045
FDK26,1089.5982759714893,OUT010
FDD23,2964.0810556297097,OUT045
NCH54,2645.763316129314,OUT017
NCP14,-228.4980056849917,OUT010
FDM60,-1207.0267137423848,OUT010
FDV24,2515.9576752315666,OUT017
FDH08,3339.9439687038325,OUT018
FDS12,3493.3431654831274,OUT027
FDR39,4317.274233709192,OUT027
FDP12,2115.423655355202,OUT027
DRF60,5169.046197251345,OUT027
FDC09,1838.7624276901415,OUT035
FDF50,2870.972939464979,OUT018
FDG28,4037.4252114724522,OUT035
NCE19,998.0497700151054,OUT017
NCM53,-205.77659397649876,OUT010
NCN18,1919.8008567176512,OUT049
FDF32,3297.849057177488,OUT035
FDF11,3854.1368137843065,OUT013
DRI59,3641.524290462801,OUT049
NCG54,2812.032057092519,OUT035
FDM44,1633.2005867473895,OUT046
FDT57,3453.1006865955055,OUT018
FDV24,2410.5923520456054,OUT046
FDI50,1739.7793122929043,OUT019
FDS09,1039.2605919599032,OUT035
NCC31,3885.6231635712484,OUT027
FDQ07,1603.2432865896849,OUT019
FDC22,3187.969718748763,OUT017
FDZ56,2689.2367739093297,OUT046
FDZ40,-1006.9075762064928,OUT019
FDS46,3389.3948325072797,OUT027
DRD24,2158.3372466934397,OUT045
FDV45,3101.1821904086614,OUT017
FDL26,2410.477840425781,OUT045
FDA56,1693.8618024287753,OUT018
FDN27,1891.7901242971711,OUT046
FDM20,3966.5082584348056,OUT049
FDO16,1450.0889564801591,OUT017
FDL03,3282.705999908688,OUT035
FDE58,1874.3927001378406,OUT046
FDI02,3294.070241849391,OUT027
NCC55,-1267.1595893386746,OUT019
FDR03,3020.3797037938225,OUT018
FDB14,1639.1605967263617,OUT017
FDR45,3835.9585717479995,OUT013
NCN07,2154.496213267917,OUT017
FDM51,-214.10813786678585,OUT019
FDT52,5358.2689501346085,OUT027
FDL26,2454.7650418025232,OUT046
NCZ42,3747.3554943699583,OUT046
DRI47,402.7406141737281,OUT019
FDW40,2324.369039779455,OUT013
FDN34,2790.9319951156413,OUT046
FDS01,2975.83649670983,OUT035
NCG55,1768.8951818282849,OUT045
FDC11,1558.595662594667,OUT035
FDX35,3344.602835896188,OUT018
NCB06,2523.6295728054065,OUT046
FDR09,2197.9628412317916,OUT019
FDC53,1668.6677945058623,OUT017
FDY45,4119.280208621683,OUT013
FDA22,762.1109820931808,OUT010
FDE02,1684.4145995421168,OUT035
FDW21,1599.7794522691038,OUT045
FDV34,1242.0863642380468,OUT046
FDS59,1892.145086880656,OUT049
NCW17,2121.4528673129075,OUT017
NCK54,1853.250295069402,OUT046
FDG17,1995.1287803208752,OUT019
FDG35,2956.965084143157,OUT017
FDD08,-1271.581200760846,OUT010
NCO07,3419.5405762387577,OUT017
FDJ10,395.94670544129735,OUT010
FDW36,1778.9859639492265,OUT017
FDW21,-184.15143535490262,OUT010
FDY19,1993.8559604808956,OUT017
DRE03,800.1181375278456,OUT013
NCC55,722.2147446309511,OUT049
FDH52,-830.0221331597379,OUT010
FDO09,4318.726260063241,OUT017
FDU43,3752.5417105648967,OUT045
FDX09,862.9377373351974,OUT010
FDH40,-511.3917000222342,OUT019
FDW58,1782.0229782731412,OUT017
FDC47,3695.0957646487996,OUT017
NCR41,1641.4641287531476,OUT035
DRG49,3993.059255763039,OUT035
FDC52,3916.4276498611634,OUT027
FDY13,1215.838472652203,OUT046
FDY35,811.409092142364,OUT013
FDI35,2986.991554949214,OUT017
NCU18,2327.526691977384,OUT049
FDY33,2285.677354933466,OUT018
FDC15,3958.1667896598583,OUT027
FDU01,3153.775994685291,OUT049
NCU42,2668.4095849678324,OUT046
NCV29,2516.9515241053628,OUT018
NCY30,2976.514521204355,OUT017
FDQ46,1900.4157015671308,OUT049
FDG58,3940.6726668712463,OUT027
FDK33,3475.6580216072957,OUT017
NCD07,1762.3643128071094,OUT045
NCX29,3727.5107784524307,OUT027
NCT42,2370.8126111747188,OUT013
DRN59,897.0371540946812,OUT035
FDI44,1429.2889411932933,OUT035
FDA45,2924.6361599416623,OUT049
FDP31,1049.2889917738523,OUT045
FDY01,1889.4619278885266,OUT046
FDT09,1885.2284113898554,OUT018
DRH03,3029.1310611256995,OUT027
FDA36,2685.1844114598093,OUT018
NCF31,2521.134838345753,OUT017
FDG14,2549.698312330268,OUT049
FDG28,5367.613368930049,OUT027
FDU14,4044.4062413401607,OUT049
FDY47,235.72093333445468,OUT019
FDI56,1562.170929985171,OUT049
DRD01,989.5864905174435,OUT013
FDM22,1012.2583861709136,OUT046
FDH33,744.5208460093827,OUT013
DRZ24,1914.5823005721313,OUT013
NCQ38,1665.3770773555757,OUT046
FDO16,2813.931779311386,OUT027
FDU07,3828.587641017325,OUT027
NCB07,3085.373390001935,OUT013
FDU48,2041.8659959036145,OUT045
NCM43,2530.225823121343,OUT045
FDR31,427.9562894893372,OUT010
DRK49,400.77324300814496,OUT018
NCI30,1917.9093736944083,OUT010
DRD60,2960.123234473339,OUT017
NCG19,3689.592501210498,OUT046
FDH12,1835.6682694936044,OUT035
FDM32,1624.375867756397,OUT035
FDM27,2670.6260422739583,OUT035
NCU53,4123.945437212512,OUT027
NCQ18,1571.898605694265,OUT046
FDS10,2872.013301437218,OUT013
FDB33,3955.790055211629,OUT027
FDI12,1465.4114524259587,OUT013
NCW42,3504.6638395693994,OUT013
NCC06,1751.8259677788787,OUT018
FDW02,2161.0469702007053,OUT017
NCD43,1757.0023550631618,OUT017
FDM57,1111.1880718555449,OUT018
FDA58,3846.4775199388505,OUT017
FDK56,2938.2487229177477,OUT046
FDP52,3685.378564978966,OUT045
FDW20,1704.8929106510013,OUT018
FDS52,1716.6492727256446,OUT049
NCT29,1617.1724960880506,OUT018
NCL54,2808.8290588095347,OUT013
FDC05,3113.9425596143296,OUT045
FDF34,3304.324134169408,OUT035
FDP03,3483.7901640933624,OUT027
FDD32,-527.5008865989114,OUT010
FDZ10,2032.7342624596572,OUT045
FDZ40,1043.7263051786276,OUT035
FDD51,460.49311891489606,OUT018
NCY30,921.873928059405,OUT019
FDP58,3551.342655128887,OUT017
FDV49,4272.684631527194,OUT017
FDY24,-988.4635116570909,OUT019
NCO55,1801.2400657103776,OUT017
FDR13,2015.9688096781165,OUT017
FDS51,1124.043930911157,OUT017
FDP26,1619.3877451276376,OUT045
NCB54,3491.187408553288,OUT027
FDF32,3225.688045901807,OUT017
FDN31,2722.1071457993153,OUT018
DRM48,703.3636791458587,OUT017
FDN20,2781.605693483535,OUT049
DRL01,3762.992602011812,OUT046
FDV56,1862.0765148431738,OUT049
DRH13,3166.0183510422803,OUT027
FDA03,2464.01750353292,OUT017
FDF47,4989.924414314564,OUT027
FDX32,2375.029448138339,OUT046
FDX57,1694.5851813900426,OUT049
NCA30,2925.6129456050044,OUT045
FDO49,895.4888299606573,OUT013
FDL04,-209.16711726213265,OUT019
DRM48,763.0761757292848,OUT035
FDR16,3433.7491814226914,OUT013
NCC19,2752.5125798660924,OUT018
NCE42,3623.1229599630715,OUT045
FDY24,1057.726353268277,OUT017
FDH19,2881.6281102403736,OUT049
FDJ46,2785.4471332059625,OUT013
FDN45,1631.4853392920672,OUT010
FDY08,2420.9251681104165,OUT035
FDZ37,1590.2908768553411,OUT035
NCT30,700.1143897798322,OUT045
DRY23,455.89169458936885,OUT018
NCZ30,1647.9002567606171,OUT018
FDC44,1541.9443236047023,OUT018
FDB45,1825.724352378838,OUT035
FDY04,2665.8468289121747,OUT013
FDM27,2630.8947379419305,OUT046
FDZ43,3954.457135513262,OUT017
FDT39,539.889034155545,OUT019
NCC06,99.36942650120886,OUT019
FDL15,3896.050357338213,OUT027
FDL57,4206.537724830206,OUT017
FDU08,1591.9285431274748,OUT046
FDK40,4269.970939768517,OUT017
FDQ12,1702.7586913785249,OUT010
FDS48,2510.580899849451,OUT017
FDP09,3285.6141634974533,OUT045
FDW21,1737.3846291065947,OUT049
FDY25,3018.253678876444,OUT035
DRE13,1474.8423703354829,OUT017
FDV43,-1181.3769372752895,OUT019
FDD22,1727.7968451905604,OUT045
FDM46,-402.56053776785774,OUT019
NCO30,987.5856750602356,OUT010
FDM25,2800.8358141678345,OUT046
NCN41,2037.8920933989602,OUT049
FDU24,1482.9312233530716,OUT045
FDZ50,2955.7087658055907,OUT046
FDP45,4039.509845972493,OUT013
NCM54,1923.3237911615556,OUT045
FDW10,882.2422270211807,OUT019
FDP20,2147.187034122337,OUT017
FDK32,2445.8381281274933,OUT046
FDN52,1560.689086489686,OUT049
FDM58,1818.0267867638136,OUT045
FDZ46,3231.0514855803713,OUT027
NCA18,1576.0117623520086,OUT018
FDD35,1951.3872760865247,OUT046
NCK31,944.3741256750782,OUT035
FDI40,3112.255695774157,OUT027
FDT50,-283.4436732006679,OUT019
NCT06,2591.9085067875035,OUT046
FDT31,3121.4115003343863,OUT035
FDT45,978.7320874024492,OUT049
FDT13,2898.5512952793156,OUT045
FDO50,1402.551397211185,OUT045
NCU18,302.93477280973957,OUT010
NCR54,3162.233242429057,OUT049
NCO18,2525.881791491142,OUT018
FDU09,906.3462890685796,OUT045
FDT13,2695.427383035734,OUT018
FDE09,1802.7048460922224,OUT046
NCK53,-299.2580001923173,OUT019
FDG45,3537.7230129695145,OUT049
DRH15,885.7391060531336,OUT035
FDO21,1680.3946756790306,OUT019
FDD14,4373.794656686306,OUT027
FDC09,1693.9110201482845,OUT046
FDH45,2221.1153618628214,OUT027
FDV32,1069.3879513856205,OUT046
FDG12,2096.18790751385,OUT035
FDS32,2307.3321211199454,OUT013
NCL55,3661.1897494301957,OUT018
DRE01,3974.2132287133873,OUT035
DRE15,1334.2621972911297,OUT049
NCL42,3803.1770450818267,OUT045
FDP31,1121.8621905562627,OUT013
FDN33,1277.2504870616651,OUT018
FDZ59,2663.4888078003223,OUT046
FDE45,912.5558781053098,OUT010
FDJ07,1930.8784099034428,OUT013
FDQ45,2690.30538180564,OUT018
FDM33,4917.073231693345,OUT027
FDO15,-644.53716901647,OUT010
FDM46,1528.530280712775,OUT013
FDR03,3228.171427645331,OUT045
FDY49,2407.2267881801376,OUT018
FDQ60,1879.6814146576276,OUT045
FDW10,2954.0324801678034,OUT049
FDO51,890.3228230999805,OUT049
FDJ40,1511.8908829311138,OUT018
FDS20,2615.098927783343,OUT018
FDU45,1876.5366129216395,OUT013
FDV02,2835.0880875502266,OUT035
FDN09,3824.730560994586,OUT046
NCM55,4385.044283526882,OUT027
FDN23,2072.0139233432524,OUT018
FDY31,398.54594706448574,OUT010
FDW03,-161.36075758497424,OUT010
FDD14,2907.6343418450556,OUT046
FDV23,2116.00714957871,OUT017
DRI03,2706.6223402166306,OUT045
FDN13,1744.6704980351092,OUT035
FDF45,2477.553531806966,OUT027
FDU46,1602.5533441175671,OUT035
FDB57,3651.949126624292,OUT049
FDV12,1803.1790880285553,OUT049
FDQ58,2439.942206795986,OUT013
NCA18,1938.1221174443044,OUT017
FDH52,1210.6406613929973,OUT049
FDM24,2157.620972896381,OUT018
NCP43,4298.882802270057,OUT027
NCO18,873.1785477265253,OUT019
FDM32,1575.5520684129956,OUT017
NCL07,723.2264421361342,OUT017
FDK03,4068.105476844152,OUT013
FDP59,1788.9378073603084,OUT017
FDQ24,4112.535726917125,OUT049
FDQ16,1481.5340849340153,OUT018
FDU44,2627.7053253480744,OUT013
FDH28,-1219.9443757146792,OUT010
FDV28,-1249.3168574888587,OUT019
FDM22,866.4633414513191,OUT045
FDR56,3146.611811404487,OUT046
FDV39,3216.448814708536,OUT049
FDU37,-552.048152010976,OUT019
FDQ11,2226.2301971516754,OUT010
FDX02,3465.031749551705,OUT045
NCS42,1194.8022411034676,OUT018
FDY57,3020.9583266784675,OUT027
FDB21,3919.135465060932,OUT049
FDE28,3778.157416550379,OUT017
FDQ55,1962.371582908872,OUT017
FDA48,3617.6675039424053,OUT049
FDZ19,2703.1205118740704,OUT045
NCC43,3890.845515573408,OUT045
NCV18,1306.189732711593,OUT046
NCA42,2228.9364883613484,OUT018
FDY45,4042.308680863275,OUT046
NCC30,2742.988837589452,OUT045
FDM57,1456.9015076162716,OUT013
FDL09,772.6486442670569,OUT010
FDB09,3448.437155643228,OUT027
FDT44,2048.6137310016584,OUT035
NCT06,4036.4352977900135,OUT027
FDX26,3004.6242320806014,OUT049
FDK32,2508.3553552462326,OUT013
DRA12,2262.488832669665,OUT046
FDO46,1103.1682723378758,OUT010
FDE52,1476.6759090214039,OUT013
NCH42,3545.2349704142966,OUT045
FDV08,856.1341137539284,OUT035
FDB47,3057.575112677125,OUT018
FDC28,-140.54917006050624,OUT010
FDD22,1826.540440652212,OUT046
FDS07,3300.010537059182,OUT027
DRI13,3345.531902361132,OUT045
FDG32,3246.324069868289,OUT018
FDU14,4051.7844305538856,OUT017
FDD28,-931.1691802445272,OUT019
NCP41,1836.5168653297555,OUT017
FDS08,2879.124138371628,OUT049
FDX47,2481.6373968520343,OUT045
FDC53,-283.5461603001003,OUT019
FDQ19,3994.8554550221434,OUT035
FDL14,2440.2002930908407,OUT045
FDM33,1595.6580888629642,OUT019
FDA51,1792.9059144585467,OUT045
FDZ27,536.6014645570363,OUT018
FDT04,696.7548916291614,OUT046
DRC13,2120.0732285906224,OUT049
FDR16,4888.780744853466,OUT027
FDQ03,5223.155328639297,OUT027
FDE38,2812.84241774904,OUT035
DRH23,2378.471010729405,OUT027
FDT11,1116.530942783109,OUT019
FDD09,2995.9500822566274,OUT035
FDR40,1366.3033508712035,OUT045
FDX07,3053.143423432632,OUT017
FDR07,1707.2678008808784,OUT035
FDA51,1979.900936015119,OUT017
FDT59,1736.9547469141799,OUT019
FDF20,3194.4483958609176,OUT017
FDR13,1816.5289609569604,OUT045
FDY26,3462.8130693026033,OUT049
FDW04,2221.487014984203,OUT017
FDK52,3688.2532149069457,OUT017
FDN60,2598.296019568519,OUT049
FDM09,853.9051967950797,OUT019
FDP46,1520.2287425446466,OUT049
FDB50,-612.7094282096742,OUT019
NCQ29,4155.006678698221,OUT049
FDP16,5324.582045543261,OUT027
FDX33,2328.3489227913537,OUT018
FDP07,1241.0024842183407,OUT010
FDN22,4003.0026021448966,OUT046
FDF39,4329.8324826669295,OUT049
FDS21,1142.6630161032804,OUT017
NCM42,1730.5291267851526,OUT013
FDK50,697.7041625122472,OUT019
DRF13,3776.216711036828,OUT027
FDH35,2327.8809621617115,OUT018
FDP60,1325.3397683416392,OUT018
DRJ49,3515.071680596923,OUT027
NCT42,435.5139768292088,OUT019
FDE38,2764.4204391511057,OUT049
FDI04,3284.9501124993485,OUT049
NCH54,2418.3164086092906,OUT045
FDT56,1110.559519010559,OUT049
DRD15,3377.637688611284,OUT018
FDV58,3163.076851408251,OUT013
FDP21,3106.8390955585337,OUT049
FDH05,3749.6683738176816,OUT013
FDR10,4020.1120891311093,OUT027
NCP06,2284.3868340129916,OUT045
FDF33,1811.2666496787388,OUT049
DRK37,3060.2329279466658,OUT013
DRH49,1337.0987893708746,OUT045
FDT58,2694.1231476893927,OUT013
FDD41,1444.7690546665565,OUT018
FDP40,1538.9120540237977,OUT018
FDM51,3129.317663285843,OUT027
FDO45,-476.99436443615923,OUT010
FDW33,-202.84119054044305,OUT010
FDY24,933.1222685052621,OUT045
FDB10,1835.4296481043425,OUT010
FDM40,2406.6727097439393,OUT035
NCI06,2947.7564372809024,OUT017
FDW12,428.3555505577008,OUT019
FDX48,3957.239495168762,OUT027
NCW05,3147.1895214300184,OUT027
FDX27,1678.4678067293694,OUT017
DRM37,3055.354460144439,OUT045
FDA38,3748.387113430963,OUT045
FDR36,721.7081611635228,OUT046
FDZ45,3148.4820081692014,OUT046
FDG05,2666.5030110452167,OUT017
FDK28,4112.201846402055,OUT013
FDV47,1320.8961562021955,OUT045
FDN21,2483.8500185315756,OUT045
FDP20,3485.6814319847826,OUT027
FDI35,2815.557763797347,OUT045
DRY23,786.0452894472962,OUT013
FDA56,2069.974932019221,OUT017
FDB09,2002.8525654745254,OUT013
NCO26,3306.356744077859,OUT027
FDQ49,2253.0996477686326,OUT018
FDI52,3411.55733287207,OUT027
FDZ44,3334.3951275958316,OUT027
FDZ09,2335.0548307153836,OUT018
FDY03,1953.1075755475185,OUT049
NCG42,2152.8018443460846,OUT017
DRI13,4882.518422902595,OUT027
FDQ32,2081.077858402856,OUT013
FDW16,1655.4067876243785,OUT035
FDU27,827.0987726029398,OUT046
FDR28,711.9542299362795,OUT010
FDQ49,637.6418728023066,OUT010
FDS37,1864.189853767708,OUT046
FDW26,3250.4520854562757,OUT018
FDX12,3569.26829499466,OUT018
NCP06,2403.6388738326136,OUT013
FDW45,396.3783293606932,OUT010
NCN30,1597.1003818849867,OUT049
FDN24,979.5423925360244,OUT049
NCL41,1991.0684016454916,OUT027
FDR02,-142.8257819818436,OUT019
FDD09,952.3854531382706,OUT010
FDS33,-409.9227485284396,OUT010
FDU22,1849.308032498267,OUT045
FDI53,2658.1605486537646,OUT013
DRH01,2870.188525770669,OUT049
FDX32,2351.971723308678,OUT013
NCP30,368.95139617046016,OUT018
FDB60,3037.100295142837,OUT045
FDB14,1645.784186464245,OUT049
NCP02,1079.269120542148,OUT035
FDJ10,2387.2234240223984,OUT017
FDG34,1879.063296791458,OUT046
NCB18,1497.9611098100365,OUT017
FDM16,1350.785708803176,OUT049
FDW25,1089.697181322866,OUT018
FDB35,-400.3573560475077,OUT010
DRN11,2300.7523049939023,OUT013
FDF41,2017.2447163234292,OUT019
FDH16,1360.664643850679,OUT045
NCQ50,3057.158771411217,OUT018
DRH23,650.9639592107187,OUT018
DRJ37,2434.06080684202,OUT013
DRJ24,4365.5013635556115,OUT027
FDY16,3093.7223963640095,OUT035
FDQ27,1667.8999954349806,OUT045
FDZ33,2301.1755258618045,OUT045
FDF29,2071.3307530014868,OUT045
FDA08,2733.200025140668,OUT049
FDG31,1131.9921048652345,OUT046
FDE34,1069.3359524357627,OUT019
NCR30,2628.271319876336,OUT027
FDV33,4258.408902373961,OUT035
DRZ24,1691.3709746059149,OUT018
NCL54,2874.048375312946,OUT035
FDR12,2884.1723409441456,OUT049
NCC54,3792.1502183567063,OUT046
DRN59,839.7908313501969,OUT013
FDX50,-129.39711356757329,OUT019
FDV31,4283.145694947997,OUT027
NCA29,4169.042249406665,OUT027
FDW60,2947.920569090903,OUT049
FDX08,2997.6521524962695,OUT017
DRD49,3750.4384664556856,OUT013
FDD33,3654.0483222273397,OUT046
FDW35,744.7116221833437,OUT013
FDJ36,1801.637413538655,OUT017
FDV51,2787.9861557383606,OUT035
FDW36,1712.519531967203,OUT046
FDH35,2625.0807303905913,OUT046
NCS30,3518.287262956702,OUT027
FDN49,794.3392210964403,OUT017
FDL08,3606.9173336021413,OUT018
FDI09,3861.3122592804366,OUT013
FDP19,1793.9153370807112,OUT018
FDU21,-1306.0242685366266,OUT010
NCP41,1635.5213337689415,OUT045
FDY10,1837.6743117436895,OUT013
FDP12,384.9452302414471,OUT018
NCN26,1933.9829914651682,OUT049
FDK44,2800.761260173248,OUT013
FDC28,1852.9274600088256,OUT049
FDJ41,5602.685576748375,OUT027
NCT29,2096.5652671396506,OUT035
NCH42,1681.2986806387407,OUT019
FDU60,2417.413263526641,OUT018
FDS02,3035.7531384173685,OUT045
FDC51,2011.7097103380302,OUT046
FDU03,2967.7527256839376,OUT013
FDX39,3323.098217938976,OUT045
NCY05,-1317.2457955472457,OUT010
NCL06,5525.211935877791,OUT027
FDD32,1549.1013630080843,OUT035
NCN41,1870.7248387101495,OUT045
NCX53,2326.817055680167,OUT049
FDU57,527.0686439034359,OUT019
FDQ23,1675.9791315808907,OUT046
FDQ52,3861.832288978573,OUT045
FDC14,652.8582240416576,OUT045
FDY09,2950.3242596494724,OUT035
FDQ28,2462.936566418763,OUT045
FDV25,3496.881236558298,OUT046
FDJ07,2010.1006519887665,OUT035
DRB25,1787.4899579119983,OUT049
FDK52,1661.435070138958,OUT019
FDY52,2489.1550331879525,OUT027
FDB28,3135.880029473883,OUT046
FDT36,762.3188407271673,OUT035
FDV25,3617.8040130646787,OUT017
NCN07,3509.4709242121407,OUT027
FDC57,3205.299304630535,OUT017
FDQ03,3502.1254592430605,OUT018
FDU23,2759.60063344728,OUT017
NCX41,3480.422411944581,OUT035
NCD06,901.1290764674504,OUT035
FDW08,1649.1852378467543,OUT045
NCU29,2391.897690570235,OUT017
NCE06,2567.979387049729,OUT013
FDV52,12.432107591203476,OUT010
FDB02,2949.385178221221,OUT017
NCR18,628.3490269762631,OUT045
FDK16,1684.7035355398893,OUT049
NCQ29,2138.353102914204,OUT010
FDZ01,-194.95938234661293,OUT019
FDW27,2687.1549479586834,OUT035
FDD17,3481.4470305026084,OUT018
FDW39,2877.936393257616,OUT013
DRH59,1101.7444444501066,OUT045
FDS52,1670.290325916832,OUT013
FDU40,4544.560611604341,OUT027
NCF54,2760.8958347688736,OUT013
FDH46,1630.5407151396853,OUT045
NCP14,1741.4585480583546,OUT049
FDH50,3135.69143943548,OUT049
DRF15,508.2507231414295,OUT010
FDV27,2908.198617137674,OUT027
NCJ06,1994.9270133259251,OUT049
FDN02,2974.358836005719,OUT018
FDQ51,908.5469127543067,OUT049
FDQ07,3665.4192902666136,OUT017
FDS45,1832.8712324925618,OUT049
NCJ06,1844.8746671129825,OUT045
FDD36,2023.8003182945763,OUT035
FDY25,2829.1146887209557,OUT045
FDU52,2468.280018373619,OUT046
DRK47,3676.8990707126004,OUT017
NCL30,2129.8789502448667,OUT017
